elapsed_s,type,uav_a,uav_b,x,y,z,center_distance_m,clearance_m
1.467914,uav,3,4,-4.389433,0.896728,0.999086,0.496155,-0.003845
6.140880,uav,1,3,-3.102533,0.045971,1.028827,0.498915,-0.001085
