elapsed_s,coverage_pct
0.982772,17.745702
1.982309,28.539588
2.982105,35.767353
3.982245,42.581193
4.982123,44.767565
5.982105,46.518786
6.982108,49.670983
7.982104,52.992995
8.982085,56.049671
9.982101,59.562726
10.982103,62.141796
11.982135,70.494587
12.982088,74.092549
13.982131,75.493526
14.982159,76.501804
15.982191,79.919338
16.982131,80.237741
17.982096,80.428784
18.982089,87.720229
19.982199,91.604755
20.982180,93.387816
21.982120,93.440883
22.982113,94.141371
23.982083,94.618977
24.982165,94.788792
25.982173,95.595415
26.982073,97.983443
27.982111,98.705158
28.982110,99.893865
29.982116,100.000000
30.982068,100.000000
31.982071,100.000000
32.982062,100.000000
33.982063,100.000000
34.982091,100.000000
35.982114,100.000000
36.982184,100.000000
37.982153,100.000000
38.982059,100.000000
39.982064,100.000000
40.982056,100.000000
41.982070,100.000000
42.982061,100.000000
