elapsed_s,coverage_pct
0.248198,15.463808
1.247453,19.549989
2.249648,40.585863
3.248462,41.286351
4.247500,41.668436
5.247433,42.071747
6.249235,48.078964
7.247441,53.491828
8.247468,59.828062
9.247429,67.045213
10.247472,67.883677
11.247432,70.717470
12.247426,73.774146
13.247425,79.176396
14.247426,81.086818
15.247478,82.593929
16.247872,85.470176
17.247475,88.473785
18.247469,95.478667
19.248137,96.189769
20.248639,97.017618
21.247411,97.261728
22.248151,97.718107
23.247485,99.469327
24.247454,99.957546
