elapsed_s,type,uav_a,uav_b,x,y,z,center_distance_m,clearance_m
16.186724,uav,1,2,2.220038,-0.147742,1.056857,0.498113,-0.001887
17.088979,uav,2,4,3.316488,-0.015592,1.014571,0.499753,-0.000247
