elapsed_s,coverage_pct
0.121617,15.463808
1.121066,18.552324
2.120959,34.652940
3.120920,42.613033
4.121047,44.406708
5.121024,46.943324
6.120927,49.713437
7.120918,53.353853
8.120995,57.153471
9.120990,59.976650
10.120915,63.362343
11.121115,67.894290
12.121004,74.230524
13.122224,79.091488
14.120957,81.840374
15.120897,88.102314
16.120906,90.776905
17.121821,91.604755
18.120889,91.827637
19.120967,91.880705
20.122913,92.655487
21.120913,93.865421
22.120968,95.181490
23.120887,96.582467
24.121347,96.890257
25.120893,97.208661
26.121571,98.259393
27.120965,100.000000
28.120892,100.000000
