elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.002255,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.002532,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.004528,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.008173,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,2
0.052334,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.052568,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.054641,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.058192,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.104655,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.112339,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.112544,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.118212,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.162568,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.164562,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.172299,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.178133,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.222560,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,4
0.224541,2,-4.999483,-0.499429,0.999992,0.005717,0.003311,-0.000060,4
0.228134,4,-4.999112,1.500618,1.000051,0.009667,0.003187,-0.000183,4
0.232261,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.274578,2,-4.999107,-0.499272,0.999987,0.010473,0.002842,-0.000136,4
0.278155,4,-4.998489,1.500768,1.000039,0.017376,0.002656,-0.000315,4
0.282262,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.282548,3,-4.998093,0.501306,1.000058,0.019823,0.003212,0.000040,4
0.324599,2,-4.998324,-0.499156,0.999976,0.022003,0.001681,-0.000321,4
0.328157,4,-4.997163,1.500869,1.000016,0.037791,0.001223,-0.000667,4
0.342318,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.342548,3,-4.996212,0.501404,1.000063,0.045618,-0.000352,0.000131,4
0.378219,4,-4.994498,1.500876,0.999969,0.070943,-0.001115,-0.001239,4
0.384551,2,-4.996367,-0.499119,0.999947,0.044838,-0.000633,-0.000688,4
0.402349,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.402536,3,-4.992289,0.501218,1.000075,0.087908,-0.006216,0.000280,4
0.438243,4,-4.988646,1.500694,0.999867,0.126539,-0.005327,-0.002198,3
0.444538,2,-4.992747,-0.499252,0.999891,0.077449,-0.003946,-0.001212,3
0.452577,3,-4.986747,0.500747,1.000093,0.135358,-0.012972,0.000443,3
0.462327,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.494551,2,-4.988067,-0.499546,0.999817,0.110450,-0.008212,-0.001752,3
0.498106,4,-4.979231,1.500142,0.999704,0.187217,-0.013938,-0.003243,3
0.502632,3,-4.978708,0.499853,1.000118,0.186299,-0.023597,0.000557,3
0.522289,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.544563,2,-4.981648,-0.500110,0.999714,0.146892,-0.014729,-0.002368,3
0.548424,4,-4.968602,1.499182,0.999520,0.238555,-0.025125,-0.004125,3
0.562564,3,-4.965677,0.497902,1.000153,0.248205,-0.042550,0.000584,3
0.582311,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.594678,2,-4.973300,-0.501059,0.999579,0.186847,-0.023517,-0.003062,3
0.608223,4,-4.952403,1.497151,0.999240,0.301326,-0.043411,-0.005202,3
0.622538,3,-4.948907,0.494611,1.000186,0.310951,-0.068269,0.000493,4
0.642280,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.654555,2,-4.951383,-0.511515,0.999374,0.269046,-0.053122,-0.007892,4
0.668170,4,-4.929630,1.494203,0.998919,0.373462,-0.070159,-0.007555,4
0.672598,3,-4.931250,0.490936,1.000076,0.367373,-0.094663,-0.000143,4
0.692315,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
