elapsed_s,coverage_pct
0.032176,15.463808
1.031548,17.575886
2.031570,37.985566
3.031579,42.103587
4.031643,42.103587
5.031648,47.399703
6.031541,54.266610
7.031503,60.889408
8.031531,61.982594
9.031628,63.744428
10.031856,70.537041
11.031581,72.765867
12.031535,74.092549
13.031595,76.278922
14.031514,77.913394
15.031606,78.666950
16.031483,80.004245
17.031648,84.217788
18.031570,86.627043
19.032707,88.219062
20.031533,89.492677
21.031550,95.308852
22.031505,97.887922
23.031490,98.132031
24.031479,98.885587
25.032934,99.066016
26.031652,99.066016
27.031528,99.267671
28.031473,99.288898
29.031523,99.288898
30.031491,99.288898
31.031474,99.299512
32.031475,99.299512
33.031514,99.798344
34.031477,99.957546
