elapsed_s,coverage_pct
0.145898,15.463808
1.145268,16.663129
2.145259,28.444067
3.145254,36.032689
4.145205,44.746338
5.145188,44.852473
6.145186,49.140310
7.145193,51.369136
8.145244,55.285502
9.145220,63.160688
10.145245,68.775207
11.145192,71.184462
12.145174,72.585438
13.145183,73.105498
14.145241,77.563150
15.145202,81.097432
16.145199,81.681172
17.145183,82.190618
18.145239,86.128211
19.145269,86.361707
20.145198,87.380599
21.145169,89.715559
22.145178,91.434940
23.145166,94.534069
24.145177,96.614307
25.145166,97.176820
26.145205,97.484610
27.145170,98.025897
28.145196,98.652091
29.145380,99.883252
30.145276,99.883252
31.145227,99.893865
32.145168,100.000000
