elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.003076,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.003991,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,1
0.007654,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,2
0.009139,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.059166,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.062700,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.064475,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.067709,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.112890,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.117783,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.119158,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.123904,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.174915,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.175451,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.178294,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.179115,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.232789,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.234581,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.237593,4,-4.998974,1.500662,1.000048,0.010517,0.003131,-0.000197,4
0.239338,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.287645,4,-4.998220,1.500803,1.000034,0.021738,0.002351,-0.000390,4
0.292713,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.293839,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.299108,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.337728,4,-4.996585,1.500882,1.000005,0.045714,0.000665,-0.000804,4
0.342716,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.343921,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.349205,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.395106,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,4
0.397755,4,-4.992577,1.500833,0.999935,0.091159,-0.002542,-0.001588,3
0.402700,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.409219,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.452832,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.453900,3,-4.997149,0.499181,0.999955,0.027461,-0.001299,-0.000896,4
0.457620,4,-4.985345,1.500536,0.999810,0.150485,-0.008112,-0.002610,3
0.469183,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.507630,4,-4.976564,1.499932,0.999658,0.201253,-0.016650,-0.003484,3
0.512834,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,4
0.513964,3,-4.994808,0.499216,0.999865,0.053275,0.002858,-0.002249,4
0.520123,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.557662,4,-4.965211,1.498810,0.999461,0.252884,-0.028861,-0.004371,3
0.564043,3,-4.991352,0.499486,0.999711,0.086396,0.008205,-0.003985,4
0.573834,2,-4.998829,-0.499213,0.999984,0.014762,0.002411,-0.000205,4
0.579248,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.617889,4,-4.947199,1.490228,0.999451,0.323701,-0.089643,-0.004081,4
0.623882,3,-4.984714,0.500232,0.999394,0.136051,0.017330,-0.006695,3
0.632710,2,-4.997444,-0.499119,0.999963,0.033046,0.000563,-0.000498,4
0.639095,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.673900,3,-4.976798,0.501351,0.998993,0.181128,0.027878,-0.009373,3
0.677651,4,-4.925899,1.484052,0.999182,0.386308,-0.117753,-0.004847,4
0.682797,2,-4.995250,-0.499146,0.999930,0.055785,-0.001744,-0.000864,4
0.699233,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.732819,2,-4.991751,-0.499305,0.999875,0.085221,-0.004784,-0.001337,3
0.734158,3,-4.964198,0.503491,0.998322,0.239473,0.044078,-0.013083,3
0.737704,4,-4.900886,1.475932,0.998874,0.448225,-0.154640,-0.005371,4
0.759123,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.792762,2,-4.985428,-0.499758,0.999775,0.126285,-0.010842,-0.002017,3
0.793912,3,-4.947972,0.506718,0.997413,0.301914,0.064194,-0.017309,3
0.797557,4,-4.872160,1.465330,0.998542,0.509548,-0.200358,-0.005653,4
0.809172,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.844014,3,-4.935824,0.496874,0.995401,0.307682,0.048456,-0.022314,4
0.847569,4,-4.845422,1.454220,0.998258,0.560167,-0.245190,-0.005704,3
0.852933,2,-4.976495,-0.500671,0.999631,0.172264,-0.020137,-0.002807,3
0.869068,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.894919,3,-4.919579,0.499745,0.994204,0.339782,0.066277,-0.025496,4
