elapsed_s,coverage_pct
0.952779,16.864785
1.952197,21.004033
2.952106,36.096370
3.952060,42.729781
4.952098,42.729781
5.952002,43.727446
6.952041,48.142645
7.952008,55.688813
8.952086,57.588622
9.952008,61.324560
10.952046,65.824666
11.951997,66.716196
12.952076,67.554659
13.952041,71.386118
14.952121,76.013585
15.951995,76.225854
16.952052,76.629166
17.952114,77.106771
18.952026,78.327319
19.952120,78.571429
20.951994,78.741244
21.952053,78.826152
22.952028,79.420505
23.952021,81.521970
24.952072,86.308639
25.951993,88.749735
26.952000,90.129484
27.951989,90.755678
28.951989,92.761622
29.951981,93.026958
30.951986,95.340692
31.952025,98.768839
32.952067,98.853747
33.952007,99.479941
34.952123,99.554235
35.952074,99.819571
36.951986,100.000000
