elapsed_s,coverage_pct
0.062445,15.463808
1.061825,16.716196
2.061835,32.710677
3.061837,43.440883
4.061769,48.110805
5.061932,50.191042
6.061832,52.303120
7.061758,57.206538
8.061926,62.300998
9.061832,69.592443
10.061791,70.781150
11.061804,72.129060
12.061760,72.203354
13.061852,72.617279
14.061790,74.877945
15.061755,75.737635
16.061767,81.585651
17.061821,82.413500
18.061763,83.931225
19.061759,86.372320
20.061775,87.699002
21.061845,88.049246
22.061776,88.357037
23.061834,90.129484
24.061769,90.840586
25.061748,90.840586
26.061742,92.719168
27.061754,93.016345
28.061740,93.451496
29.061753,94.067077
30.061748,94.650817
31.061754,96.168542
32.061762,96.264063
33.061777,96.264063
34.061732,96.264063
35.061756,96.529399
36.061778,96.603693
37.061740,97.484610
38.061812,97.569518
39.061813,97.569518
40.061763,97.877308
41.061779,98.705158
42.061783,99.225218
