elapsed_s,coverage_pct
0.941839,18.159626
1.940898,29.590321
2.940867,42.209722
3.940950,43.377202
4.940918,45.160263
5.940853,50.923371
6.940847,51.974103
7.940866,53.735937
8.940897,56.219486
9.940886,57.503715
10.940855,59.254935
11.940836,61.282106
12.940832,65.591170
13.940919,66.281044
14.940855,67.215029
15.940879,76.151560
16.940824,79.271917
17.940828,79.611547
18.940848,79.654001
19.940838,83.220123
20.940916,83.527913
21.940838,84.971344
22.940829,86.170664
23.940856,87.486733
24.940987,87.486733
25.940892,87.486733
26.940874,87.486733
27.940832,87.486733
28.940829,87.486733
29.940846,87.486733
30.940821,87.486733
31.940859,87.486733
32.940884,87.592868
33.940893,89.545744
34.940869,90.607090
35.940874,93.005731
36.940836,97.049459
37.940846,97.399703
38.940881,98.768839
39.940865,98.874973
40.940822,99.044789
41.940821,99.501167
