elapsed_s,coverage_pct
0.954259,16.556994
1.953618,25.642114
2.953668,43.122479
3.953602,44.841859
4.953620,47.739333
5.953630,50.541286
6.953631,55.189981
7.953618,56.017831
8.953636,57.365740
9.953637,62.640628
10.953652,66.737423
11.953567,71.800042
12.953582,72.044152
13.953586,75.387391
14.953588,77.764806
15.953615,79.165782
16.953567,83.167056
17.953563,85.470176
18.953576,92.209722
19.953556,93.048185
20.953556,93.992783
21.953565,94.459775
22.953615,94.544683
23.953806,94.756952
24.953640,95.085969
25.953551,97.399703
26.953555,98.429208
27.953572,99.108470
28.953627,99.617916
29.953593,99.830185
30.953551,99.840798
31.953575,99.915092
32.953605,99.915092
33.953583,100.000000
34.953550,100.000000
