elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.005385,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.006423,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.007682,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.009450,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,2
0.055393,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.056437,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.057686,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.059622,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.105408,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.116405,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.117625,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.119514,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.165442,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.167626,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.176404,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.179454,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.217647,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.225339,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.226422,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.239414,4,-4.998587,1.500481,1.000269,0.015440,0.003081,0.000242,3
0.277712,2,-4.999622,-0.498871,0.999000,0.006951,0.003054,-0.003569,4
0.285293,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.286468,3,-4.997741,0.498809,0.999980,0.023474,-0.002027,-0.000058,3
0.289486,4,-4.997652,1.500606,1.000281,0.023569,0.001638,0.000243,3
0.335443,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.337669,2,-4.998938,-0.498824,0.998758,0.017596,-0.002360,-0.004705,4
