elapsed_s,type,uav_a,uav_b,x,y,z,center_distance_m,clearance_m
1.596386,uav,3,4,-4.160356,0.976748,0.982237,0.493776,-0.006224
1.775402,uav,1,2,-4.394608,-1.068909,0.968730,0.499319,-0.000681
4.246368,uav,1,3,-3.325200,0.277638,1.030616,0.499229,-0.000771
8.029516,uav,3,4,-2.072560,0.282046,0.943883,0.499631,-0.000369
8.239436,uav,1,4,-1.646733,0.265905,0.963242,0.493966,-0.006034
