elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.002590,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,2
0.003997,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.006827,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.006961,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.052816,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.054159,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.057056,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.057094,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.112600,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.113952,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.116802,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.116953,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.162650,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.164022,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.166857,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.166998,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.212688,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,4
0.223997,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.226828,3,-4.999555,0.499486,1.000007,0.005131,-0.003505,0.000041,3
0.226998,2,-4.998954,-0.500685,1.000167,0.011271,-0.003036,0.001141,4
0.272718,4,-4.998606,1.500749,1.000041,0.015495,0.002787,-0.000283,4
0.284024,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.286778,3,-4.999143,0.499284,1.000009,0.009902,-0.003112,0.000001,3
0.286997,2,-4.998028,-0.500850,1.000259,0.022722,-0.002248,0.002236,4
0.332607,4,-4.997054,1.500872,1.000014,0.039333,0.001114,-0.000694,4
0.336839,3,-4.998421,0.499148,1.000007,0.019887,-0.002257,-0.000084,3
0.337014,2,-4.996349,-0.500924,1.000423,0.046638,-0.000579,0.004521,4
0.344007,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.382659,4,-4.994287,1.500872,0.999965,0.073271,-0.001279,-0.001279,4
0.396783,3,-4.996691,0.499058,0.999997,0.039083,-0.000598,-0.000248,3
0.396981,2,-4.992262,-0.500869,1.000817,0.092621,0.002642,0.008916,4
0.403988,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.432766,4,-4.989512,1.500729,0.999882,0.119502,-0.004664,-0.002076,2
0.446797,3,-4.982870,0.505789,0.999601,0.135169,0.050324,-0.001436,4
0.447004,2,-4.986403,-0.500642,1.001380,0.142735,0.006930,0.013667,3
0.454050,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.492695,4,-4.980541,1.500237,0.999726,0.179948,-0.012638,-0.003117,3
0.496897,3,-4.975426,0.508460,0.999532,0.163504,0.057278,-0.001343,4
0.497088,2,-4.977975,-0.500112,1.002182,0.194388,0.014942,0.018382,3
0.514008,1,-4.999429,-1.500251,1.000544,0.010735,0.000667,0.001511,4
0.543002,4,-4.969862,1.499312,0.999542,0.233025,-0.023754,-0.004030,3
0.556776,3,-4.964422,0.512299,0.999449,0.204613,0.071866,-0.001461,4
0.558338,2,-4.964434,-0.498800,1.003450,0.257163,0.029724,0.023856,3
0.574019,1,-4.998125,-1.500098,1.000645,0.035231,0.004925,0.001811,4
0.602981,4,-4.954409,1.497436,0.999275,0.294224,-0.041096,-0.005081,3
0.606810,3,-4.953208,0.516307,0.999370,0.244805,0.089230,-0.001751,4
0.616974,2,-4.947099,-0.496432,1.005041,0.320829,0.050158,0.029125,3
0.633999,1,-4.994971,-1.499582,1.000718,0.071644,0.012972,0.000172,4
0.656826,3,-4.939859,0.521298,0.999271,0.290356,0.111311,-0.002215,3
0.662602,4,-4.929000,1.491757,0.999227,0.385967,-0.077194,-0.005785,4
0.676980,2,-4.925414,-0.492954,1.007543,0.383178,0.071756,0.037036,4
0.684009,1,-4.990462,-1.498699,1.000649,0.109673,0.022876,-0.003342,4
0.712637,4,-4.908335,1.487288,0.998898,0.439906,-0.102234,-0.007257,4
0.716779,3,-4.920620,0.528927,0.999116,0.352165,0.144072,-0.003002,3
0.726981,2,-4.905127,-0.488759,1.009487,0.426285,0.096278,0.040685,4
0.744025,1,-4.982358,-1.496864,1.000232,0.161270,0.039026,-0.011243,4
0.762718,4,-4.884934,1.481433,0.998507,0.495095,-0.132543,-0.008287,4
0.766799,3,-4.901600,0.536922,0.998946,0.409590,0.176571,-0.003850,3
0.776998,2,-4.882940,-0.483295,1.011609,0.460906,0.122923,0.044270,4
0.803996,1,-4.971000,-1.493921,0.999214,0.217875,0.059826,-0.023435,2
0.822572,4,-4.853241,1.472232,0.997988,0.562790,-0.175751,-0.008940,4
0.826806,3,-4.874807,0.548821,0.998680,0.481944,0.219696,-0.004971,3
0.837026,2,-4.853604,-0.474661,1.014462,0.491984,0.158677,0.048602,4
0.854142,1,-4.958900,-1.490427,0.997716,0.266779,0.080580,-0.037091,2
0.872628,4,-4.823695,1.462432,0.997538,0.620559,-0.217521,-0.009002,2
0.876857,3,-4.849214,0.560734,0.998409,0.541298,0.256860,-0.005868,3
0.897002,2,-4.824197,-0.464289,1.017425,0.510302,0.196032,0.052326,3
0.913993,1,-4.941088,-1.484746,0.994896,0.326851,0.109373,-0.057564,2
0.926861,3,-4.816824,0.564744,0.998011,0.615826,0.250963,-0.007092,4
0.932620,4,-4.784282,1.447686,0.997009,0.691427,-0.274219,-0.008540,3
0.956971,2,-4.793237,-0.451270,1.020638,0.519660,0.238423,0.054419,3
0.963996,1,-4.923473,-1.478611,0.991521,0.377042,0.136182,-0.077756,2
0.982648,4,-4.748262,1.432770,0.996593,0.749205,-0.322370,-0.008127,3
0.986735,3,-4.777818,0.580857,0.997550,0.682264,0.284469,-0.008237,4
1.006987,2,-4.767217,-0.438402,1.023371,0.520336,0.276960,0.054736,3
1.023984,1,-4.899071,-1.469413,0.986053,0.437182,0.171147,-0.105196,2
1.036901,3,-4.742383,0.595675,0.997115,0.735566,0.307878,-0.009171,4
1.042697,4,-4.701215,1.411675,0.996116,0.816291,-0.379668,-0.007761,4
1.067163,2,-4.736205,-0.420316,1.026622,0.512616,0.327066,0.053405,4
1.084047,1,-4.870966,-1.458005,0.978827,0.497513,0.208641,-0.135591,2
