elapsed_s,type,uav_a,uav_b,x,y,z,center_distance_m,clearance_m
1.437941,uav,3,4,-4.321253,0.827379,0.993360,0.494879,-0.005121
9.117983,uav,1,4,-2.456789,0.221387,0.970076,0.492394,-0.007606
