elapsed_s,coverage_pct
0.065421,15.463808
1.064584,16.556994
2.064644,26.915729
3.064660,44.937381
4.066302,44.947994
5.064556,47.558905
6.064716,50.424538
7.064555,53.725324
8.064554,63.213755
9.064621,66.801104
10.064549,69.560603
11.064584,72.925069
12.064561,73.965188
13.064553,78.157504
14.064586,81.723626
15.064669,82.668223
16.064545,82.668223
17.064623,82.742518
18.064547,86.849926
19.064551,88.590533
20.064674,93.409043
21.064543,95.330079
22.064673,96.200382
23.064549,96.667374
24.064558,96.953938
25.064542,97.420930
26.064583,99.214604
27.064535,99.288898
28.064537,99.479941
29.064537,99.755890
30.064548,99.755890
31.064545,99.798344
