elapsed_s,coverage_pct
0.055143,15.463808
1.054508,17.873063
2.054493,31.108045
3.054469,42.390151
4.054436,42.400764
5.054432,43.218000
6.054421,46.444492
7.054458,55.635746
8.054473,57.938866
9.054463,64.487370
10.054461,71.396731
11.054469,74.060709
12.054461,76.151560
13.054518,80.142220
14.054444,83.379325
15.054418,84.716621
16.054444,85.024411
17.054494,85.024411
18.054457,85.204840
19.054451,85.204840
20.054450,85.777966
21.054433,89.620038
22.054459,90.999788
23.055228,91.254511
24.054390,92.368924
25.054453,93.133093
26.054442,99.310125
27.054385,99.458714
28.054493,99.522394
29.054453,99.543621
30.054446,99.639142
31.054397,100.000000
