elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.000045,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,1
0.004119,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.006928,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.009151,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,1
0.050210,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.054207,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.066813,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.069240,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.110190,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.114121,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.126840,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.129160,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.164213,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.170107,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.186947,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.189341,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.224173,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.230071,4,-4.999102,1.500622,1.000051,0.009700,0.003185,-0.000183,4
0.246846,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.249144,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.284148,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.290100,4,-4.998281,1.500796,1.000035,0.020756,0.002420,-0.000374,4
0.299172,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.306820,2,-4.999374,-0.499370,0.999991,0.006641,0.003223,-0.000075,4
0.340139,4,-4.996712,1.500880,1.000008,0.044024,0.000784,-0.000775,4
0.344089,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.359121,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.366910,2,-4.998739,-0.499199,0.999982,0.016108,0.002276,-0.000226,4
0.394107,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.400017,4,-4.992822,1.500839,0.999940,0.088695,-0.002368,-0.001545,4
0.409418,3,-4.999385,0.500299,0.999994,0.009353,0.000589,-0.000145,4
0.426862,2,-4.997243,-0.499116,0.999960,0.035373,0.000327,-0.000536,4
0.450112,4,-4.987193,1.500629,0.999842,0.137572,-0.006509,-0.002388,3
0.454198,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.469164,3,-4.998405,0.500292,0.999977,0.024910,-0.000986,-0.000441,4
0.486761,2,-4.994308,-0.499180,0.999915,0.064326,-0.002612,-0.001001,3
0.510123,4,-4.977118,1.499978,0.999667,0.198415,-0.016080,-0.003435,3
0.514194,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.529277,3,-4.996200,0.500161,0.999937,0.050206,-0.003551,-0.000922,4
0.536804,2,-4.990333,-0.499390,0.999853,0.095488,-0.006056,-0.001505,3
0.560385,4,-4.965894,1.498887,0.999473,0.250060,-0.028104,-0.004323,3
0.574069,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.586837,2,-4.984700,-0.499821,0.999763,0.130423,-0.011582,-0.002087,3
0.589107,3,-4.992211,0.499840,0.999863,0.083821,-0.007449,-0.001576,2
0.620111,4,-4.949013,1.496650,0.999181,0.312983,-0.047353,-0.005402,3
0.624120,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.646787,2,-4.975506,-0.500788,0.999615,0.176862,-0.021183,-0.002887,3
0.649238,3,-4.986016,0.499228,0.999745,0.123494,-0.013251,-0.002384,2
0.674144,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.680154,4,-4.928411,1.484858,0.998537,0.377284,-0.082737,0.001604,4
0.696894,2,-4.965615,-0.502100,0.999452,0.219321,-0.031656,-0.003636,4
0.709374,3,-4.977268,0.498212,0.999574,0.169113,-0.020954,-0.003344,3
0.724149,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.740107,4,-4.903994,1.479157,0.998574,0.436291,-0.107485,-0.000530,4
0.756834,2,-4.950218,-0.504208,0.998962,0.277297,-0.043566,-0.005940,4
0.769150,3,-4.965615,0.496675,0.999341,0.220040,-0.030634,-0.004448,3
0.784077,1,-4.993542,-1.500882,1.000329,0.071314,0.001135,0.001484,4
0.790143,4,-4.881015,1.473255,0.998487,0.482458,-0.128693,-0.003055,4
0.806902,2,-4.935172,-0.506624,0.998613,0.324676,-0.052866,-0.008126,4
0.819178,3,-4.953480,0.494902,0.999093,0.264882,-0.040429,-0.005462,3
0.834109,1,-4.988024,-1.500717,1.000425,0.114475,0.004567,0.001743,4
0.850039,4,-4.850477,1.464797,0.998193,0.535169,-0.152283,-0.006824,3
0.866927,2,-4.913938,-0.510089,0.998022,0.383970,-0.062426,-0.011775,4
0.869284,3,-4.939110,0.492609,0.998793,0.311509,-0.051753,-0.006553,4
0.894087,1,-4.979697,-1.500271,1.000536,0.163925,0.011017,0.001942,4
0.900062,4,-4.822578,1.456769,0.997763,0.578051,-0.167396,-0.010404,3
0.926749,2,-4.889093,-0.514086,0.997188,0.444421,-0.070647,-0.016112,3
0.929147,3,-4.914595,0.488777,0.997633,0.384868,-0.071422,-0.009562,4
0.944097,1,-4.970399,-1.499515,1.000635,0.207835,0.019706,0.002001,2
0.950119,4,-4.792703,1.448132,0.997147,0.619711,-0.178242,-0.014355,3
0.976874,2,-4.865587,-0.517775,0.996284,0.495050,-0.076644,-0.020073,3
0.989122,3,-4.889724,0.483848,0.997026,0.445138,-0.093733,-0.010710,4
0.994098,1,-4.958879,-1.498252,1.000735,0.253975,0.031364,0.001962,2
1.010101,4,-4.754064,1.437185,0.996134,0.667650,-0.185579,-0.019458,3
1.036822,2,-4.834023,-0.522569,0.994925,0.556046,-0.082821,-0.025217,3
1.044106,1,-4.944963,-1.496327,1.000830,0.302577,0.046045,0.001825,2
1.049110,3,-4.861175,0.477449,0.996349,0.507592,-0.120464,-0.011863,2
1.060105,4,-4.719710,1.427849,0.995052,0.704601,-0.186683,-0.023772,4
1.086831,2,-4.805016,-0.526816,0.993559,0.606734,-0.087321,-0.029529,3
1.094130,1,-4.928574,-1.493596,1.000916,0.353374,0.063748,0.001588,2
1.099117,3,-4.834447,0.470794,0.995731,0.561367,-0.146145,-0.012827,3
1.110162,4,-4.683565,1.419657,0.993735,0.743853,-0.170446,-0.030591,4
1.146757,2,-4.771334,-0.526264,0.991009,0.682691,-0.052953,-0.042984,4
1.149125,3,-4.805019,0.462788,0.995068,0.615902,-0.174486,-0.013669,3
1.154066,1,-4.905540,-1.489019,1.000998,0.414840,0.089851,0.001120,2
1.170091,4,-4.637627,1.410397,0.991592,0.787920,-0.134189,-0.041523,4
1.197017,2,-4.735987,-0.528994,0.988750,0.730816,-0.056111,-0.047355,4
1.199143,3,-4.771980,0.453046,0.994354,0.670518,-0.205165,-0.014030,3
1.204136,1,-4.883488,-1.483883,1.001041,0.465991,0.115937,0.000564,2
1.230043,4,-4.589029,1.404024,0.988682,0.832340,-0.076190,-0.055644,4
1.249286,3,-4.738148,0.442335,0.993674,0.720784,-0.235602,-0.013877,4
1.256760,2,-4.690452,-0.532456,0.985757,0.786710,-0.059172,-0.052354,4
1.264088,1,-4.853732,-1.475874,1.001050,0.527009,0.152293,-0.000301,2
1.281050,4,-4.546516,1.401495,0.985625,0.867852,-0.024933,-0.066411,3
1.306979,2,-4.649969,-0.535467,0.983039,0.831768,-0.061117,-0.056316,2
1.309128,3,-4.675579,0.434260,0.992299,0.826971,-0.268877,-0.014629,4
1.314102,1,-4.826114,-1.467411,1.001013,0.577743,0.186904,-0.001188,3
1.340150,4,-4.493089,1.401861,0.981289,0.908347,0.037213,-0.077393,3
1.359375,3,-4.632960,0.420171,0.991582,0.875746,-0.293220,-0.014001,4
1.366750,2,-4.598496,-0.539185,0.979524,0.883959,-0.062721,-0.060822,3
1.374079,1,-4.789608,-1.454821,1.000905,0.637905,0.233130,-0.002414,3
1.390175,4,-4.446973,1.405010,0.977252,0.941300,0.089108,-0.083844,3
1.416879,2,-4.553202,-0.542370,0.976394,0.925614,-0.065183,-0.064106,3
1.419080,3,-4.578738,0.401880,0.990767,0.932751,-0.315726,-0.013154,3
1.424105,1,-4.764908,-1.450046,1.000491,0.699243,0.230532,-0.006046,4
1.450074,4,-4.389179,1.412251,0.972112,0.982791,0.151982,-0.086273,3
1.469176,3,-4.530900,0.385730,0.990128,0.979143,-0.328959,-0.012368,3
1.474106,1,-4.728580,-1.438081,1.000140,0.753653,0.246861,-0.008041,4
1.476814,2,-4.496303,-0.546489,0.972462,0.972493,-0.073187,-0.066891,3
1.500120,4,-4.340734,1.421214,0.968406,1.005806,0.201142,-0.081915,4
1.526877,2,-4.446742,-0.550407,0.969079,1.009098,-0.084110,-0.068253,3
1.529112,3,-4.470569,0.365697,0.989418,1.033307,-0.338162,-0.011330,3
1.534089,1,-4.681386,-1.422895,0.999578,0.820876,0.258158,-0.010780,3
1.560007,4,-4.279433,1.435017,0.963604,1.036225,0.258109,-0.078055,4
1.579165,3,-4.417799,0.348709,0.988874,1.076658,-0.340769,-0.010382,3
1.584185,1,-4.638943,-1.409897,0.998976,0.878155,0.261882,-0.013311,3
1.586762,2,-4.384951,-0.555972,0.964963,1.050001,-0.102312,-0.068731,3
1.610184,4,-4.227150,1.449022,0.959795,1.051394,0.300777,-0.074039,4
1.639090,3,-4.351889,0.332078,0.987933,1.117536,-0.324144,-0.009118,4
1.644086,1,-4.584147,-1.394011,0.998084,0.945966,0.267391,-0.016396,3
1.646820,2,-4.351387,-0.559394,0.962790,0.000000,0.000000,0.000000,3
1.661093,4,-4.174399,1.465033,0.956208,1.057266,0.338973,-0.069306,4
1.689338,3,-4.295393,0.316051,0.987509,1.142517,-0.315881,-0.007861,4
1.694105,1,-4.535515,-1.380507,0.997201,1.001221,0.273585,-0.018970,3
1.706754,2,-4.291311,-0.561759,0.954786,0.864793,-0.018081,-0.073012,4
1.720090,4,-4.111088,1.486590,0.952246,1.052395,0.379052,-0.062744,3
1.744224,1,-4.495630,-1.375022,0.996592,0.973773,0.246507,-0.021582,4
1.749198,3,-4.226191,0.297687,0.987088,1.158761,-0.293143,-0.006102,4
1.756782,2,-4.249629,-0.561604,0.951100,0.798932,0.025925,-0.074346,4
1.780078,4,-4.048138,1.510484,0.948674,1.038102,0.414165,-0.055929,3
1.799315,3,-4.168259,0.283752,0.986824,1.160799,-0.263620,-0.004436,4
1.804160,1,-4.436015,-1.360074,0.995216,1.004711,0.250151,-0.024103,4
1.806890,2,-4.211485,-0.559110,0.947354,0.727254,0.074230,-0.075528,4
1.830221,4,-3.996856,1.531762,0.946029,1.019936,0.439605,-0.050276,3
1.849398,3,-4.110377,0.271444,0.986647,1.153410,-0.229304,-0.002664,3
1.864099,1,-4.375769,-1.345114,0.993712,0.998517,0.247797,-0.025974,4
1.866760,2,-4.170471,-0.552844,0.942785,0.639224,0.135103,-0.076680,4
1.890202,4,-3.936479,1.558962,0.943216,0.990423,0.465901,-0.043448,4
1.909284,3,-4.041564,0.258766,0.986549,1.134415,-0.193574,-0.000598,3
1.914105,1,-4.326606,-1.332879,0.992385,0.965065,0.241262,-0.027041,4
1.916788,2,-4.140377,-0.544770,0.938932,0.564243,0.188214,-0.077417,2
1.950136,4,-3.885002,1.587720,0.941329,0.921193,0.481691,-0.038687,4
1.964148,1,-4.279658,-1.321043,0.991015,0.909787,0.232170,-0.027677,2
1.966883,2,-4.114052,-0.533977,0.935044,0.487780,0.243505,-0.077945,2
1.969223,3,-3.974416,0.248076,0.986573,1.104530,-0.164196,0.001388,3
2.010071,4,-3.831179,1.617165,0.939203,0.871407,0.499264,-0.032244,4
2.014198,1,-4.235592,-1.309555,0.989621,0.850244,0.227647,-0.027953,2
2.019491,3,-3.919972,0.240373,0.986683,1.071520,-0.144790,0.002975,3
2.026755,2,-4.087545,-0.517379,0.930370,0.397590,0.310577,-0.077938,2
2.060185,4,-3.788825,1.642423,0.937721,0.821802,0.510726,-0.027095,4
2.074089,1,-4.186820,-1.295893,0.987946,0.776094,0.229359,-0.027822,2
2.076893,2,-4.069485,-0.500437,0.926484,0.324619,0.366588,-0.077262,2
2.079105,3,-3.854108,0.234137,0.986679,1.038038,-0.116972,0.002945,4
2.120232,4,-3.741498,1.673400,0.936270,0.755043,0.521319,-0.021401,3
2.124090,1,-4.149604,-1.284261,0.986566,0.711883,0.236731,-0.027327,2
2.136742,2,-4.052564,-0.476429,0.921893,0.239949,0.433743,-0.075646,2
2.139047,3,-3.793190,0.227676,0.986890,0.993108,-0.098202,0.003996,4
2.181461,4,-3.698245,1.704947,0.935130,0.686606,0.530047,-0.016789,3
2.184090,1,-4.109302,-1.269630,0.984957,0.633031,0.252970,-0.026323,3
2.189159,3,-3.744470,0.223181,0.987104,0.955000,-0.081382,0.004511,4
2.196766,2,-4.040601,-0.448298,0.917411,0.158216,0.501058,-0.073091,2
2.234124,1,-4.079187,-1.256455,0.983662,0.568588,0.273697,-0.025313,3
2.240013,4,-3.659106,1.736994,0.934233,0.616724,0.537001,-0.013281,3
2.249108,3,-3.688551,0.218937,0.987383,0.908508,-0.059801,0.004695,4
2.256834,2,-4.033454,-0.416337,0.913154,0.081553,0.567344,-0.068921,3
2.290125,4,-3.629675,1.764029,0.933623,0.557577,0.541658,-0.011173,3
2.294134,1,-4.047402,-1.239121,0.982187,0.493965,0.307114,-0.023929,3
2.299126,3,-3.644098,0.216421,0.987614,0.869120,-0.040648,0.004486,2
2.316812,2,-4.030741,-0.380321,0.909191,0.009700,0.633016,-0.062878,3
2.340510,4,-3.605489,1.792492,0.934579,0.486724,0.553938,-0.002124,4
2.349222,3,-3.601668,0.214885,0.987827,0.828979,-0.020716,0.004016,2
2.354102,1,-4.019917,-1.219429,0.980796,0.421601,0.350141,-0.022348,3
2.366876,2,-4.031672,-0.347315,0.906203,-0.046324,0.687124,-0.056419,3
2.400017,4,-3.578384,1.825953,0.934605,0.417700,0.562815,0.003547,4
2.404103,1,-4.000324,-1.200920,0.979716,0.363817,0.391851,-0.020947,3
2.409205,3,-3.553439,0.214378,0.988044,0.779519,0.003922,0.003189,3
2.426982,2,-4.035658,-0.324953,0.903600,-0.141816,0.677509,-0.047982,4
2.460020,4,-3.555359,1.860069,0.935071,0.349987,0.574867,0.012544,4
2.464076,1,-3.983439,-1.185460,0.978056,0.286286,0.389687,-0.019882,4
2.469155,3,-3.508186,0.215373,0.988204,0.728609,0.029365,0.002073,3
2.486846,2,-4.046134,-0.283281,0.900956,-0.207189,0.708742,-0.040147,4
2.520094,4,-3.536356,1.895004,0.936176,0.283641,0.590089,0.024864,3
2.524100,1,-3.968143,-1.161469,0.976900,0.224157,0.407679,-0.018699,4
2.529150,3,-3.466025,0.217918,0.988287,0.676279,0.055599,0.000671,3
2.546736,2,-4.060503,-0.240231,0.898782,-0.271592,0.723303,-0.032297,4
2.574149,1,-3.958170,-1.140935,0.975986,0.175195,0.412112,-0.017906,4
2.580237,4,-3.521292,1.930943,0.938103,0.218313,0.607161,0.039352,3
2.589122,3,-3.425909,0.222025,0.988751,0.628184,0.086873,-0.000033,4
2.596834,2,-4.075407,-0.204038,0.897331,-0.324503,0.722702,-0.025745,4
2.634099,1,-3.949338,-1.116358,0.974934,0.119805,0.404759,-0.017185,2
2.640060,4,-3.510140,1.967872,0.940896,0.153425,0.623456,0.053705,3
2.649237,3,-3.389723,0.228234,0.988728,0.578506,0.121119,-0.000578,4
2.656786,2,-4.096760,-0.161072,0.896023,-0.387110,0.706700,-0.017869,2
2.694097,1,-3.943712,-1.092591,0.973917,0.068031,0.384352,-0.016740,2
2.700071,4,-3.502867,2.005774,0.944547,0.088904,0.638918,0.067875,3
2.709137,3,-3.356404,0.236690,0.988700,0.531900,0.161572,-0.000212,2
2.716758,2,-4.121842,-0.119561,0.895187,-0.448588,0.674387,-0.009983,2
2.750100,4,-3.486827,2.031243,0.947723,0.061490,0.624775,0.077304,4
2.754085,1,-3.941086,-1.070377,0.972917,0.020233,0.355524,-0.016697,2
2.766781,2,-4.145489,-0.086672,0.894850,-0.496587,0.640432,-0.003508,2
2.769107,3,-3.325826,0.247744,0.988721,0.488312,0.208077,0.001043,3
2.800208,4,-3.484896,2.062565,0.951849,0.017152,0.627672,0.087687,4
2.804177,1,-3.941009,-1.053331,0.972076,-0.016683,0.325541,-0.016983,3
2.816810,2,-4.171435,-0.055588,0.894834,-0.540688,0.602293,0.002840,2
2.829142,3,-3.297859,0.261724,0.988829,0.443578,0.258486,0.002574,3
2.860044,4,-3.485204,2.100096,0.957453,-0.025482,0.620053,0.098636,4
2.864089,1,-3.943250,-1.035061,0.971038,-0.057433,0.282445,-0.017712,3
2.866871,2,-4.199492,-0.026514,0.895132,-0.580898,0.559962,0.009062,3
2.889116,3,-3.272553,0.278905,0.989030,0.395552,0.312014,0.004098,3
2.910107,4,-3.487177,2.130733,0.962584,-0.052086,0.604472,0.106472,4
2.914100,1,-3.946909,-1.021962,0.970130,-0.088462,0.240567,-0.018642,3
2.926754,2,-4.235670,0.005427,0.895896,-0.624014,0.503631,0.016359,3
2.949115,3,-3.253189,0.299001,0.989704,0.323327,0.365764,0.006950,4
2.970039,4,-3.490995,2.166140,0.969211,-0.073360,0.574712,0.114343,3
2.974116,1,-3.953256,-1.009197,0.968967,-0.122216,0.183234,-0.020150,3
2.986763,2,-4.275126,0.031992,0.894403,-0.661593,0.424738,0.011578,4
2.999197,3,-3.238178,0.318360,0.990080,0.277857,0.409583,0.008099,4
3.020219,4,-3.494919,2.194063,0.975066,-0.082230,0.540651,0.119633,3
3.034164,1,-3.951311,-0.993333,0.968622,-0.119767,0.149616,-0.019977,4
3.036884,2,-4.308874,0.051916,0.895043,-0.687748,0.372139,0.013491,4
3.059189,3,-3.223235,0.344415,0.990604,0.219317,0.457761,0.009320,4
3.080167,4,-3.499914,2.225010,0.982398,-0.082706,0.489322,0.124469,3
3.084268,1,-3.957559,-0.986720,0.967587,-0.128116,0.116732,-0.021414,4
3.096859,2,-4.350953,0.072326,0.895819,-0.713185,0.307667,0.011616,4
3.109406,3,-3.213554,0.368234,0.991092,0.167331,0.494126,0.010203,4
3.140212,4,-3.504732,2.252700,0.989975,-0.077065,0.433048,0.127843,4
3.144155,1,-3.965174,-0.980522,0.966251,-0.122736,0.092473,-0.023050,4
3.146943,2,-4.387037,0.086344,0.896290,-0.729346,0.252943,0.007069,4
3.169150,3,-3.205482,0.399069,0.991732,0.101141,0.533209,0.011100,2
3.194193,1,-3.970926,-0.976136,0.965067,-0.105439,0.084941,-0.024337,2
3.200197,4,-3.502660,2.275590,0.999002,-0.032333,0.384987,0.135892,4
3.206899,2,-4.431222,0.099549,0.896621,-0.741926,0.187146,0.004819,2
3.229244,3,-3.201487,0.432154,0.992418,0.031768,0.568105,0.011571,2
3.254137,1,-3.976250,-0.970940,0.963563,-0.069316,0.091088,-0.025792,3
3.256943,2,-4.468448,0.107536,0.896899,-0.746578,0.132451,0.006910,2
3.260112,4,-3.504281,2.296836,1.007142,-0.021845,0.328243,0.137176,4
3.289164,3,-3.201662,0.467252,0.993098,-0.037557,0.600765,0.010904,3
3.304145,1,-3.978721,-0.966014,0.962246,-0.028839,0.107020,-0.026905,3
3.316765,2,-4.513228,0.113516,0.897505,-0.745170,0.066958,0.014191,2
3.320106,4,-3.505238,2.314814,1.015382,-0.009810,0.271588,0.137597,4
3.339676,3,-3.204975,0.497903,0.993610,-0.095070,0.626335,0.009449,3
3.364113,1,-3.978885,-0.958849,0.960596,0.024087,0.132981,-0.028042,3
3.366910,2,-4.550335,0.115505,0.898460,-0.738216,0.012652,0.024719,2
3.380139,4,-3.505427,2.329425,1.023632,0.003730,0.215308,0.137144,4
3.399120,3,-3.212735,0.536312,0.994098,-0.163888,0.655098,0.006625,3
3.424125,1,-3.975740,-0.949906,0.958884,0.081417,0.166151,-0.028956,3
3.426780,2,-4.594256,0.114317,0.900465,-0.722944,-0.052113,0.043085,3
3.440046,4,-3.504761,2.340659,1.031819,0.018743,0.159535,0.135816,4
3.449217,3,-3.222363,0.569637,0.994351,-0.221148,0.677501,0.003369,3
3.476873,2,-4.629909,0.110380,0.903098,-0.704507,-0.105550,0.063102,4
3.484096,1,-3.967059,-0.936785,0.957339,0.156234,0.212267,-0.028561,4
3.490144,4,-3.503488,2.347475,1.038562,0.032389,0.113399,0.134043,4
3.509164,3,-3.222495,0.598234,1.001070,-0.258755,0.689928,0.006407,4
3.536794,2,-4.671872,0.100449,0.908476,-0.683092,-0.179359,0.085732,4
3.544074,1,-3.955844,-0.922901,0.955623,0.217976,0.250955,-0.028561,4
3.550014,4,-3.501020,2.352627,1.046521,0.050130,0.058398,0.131113,4
