elapsed_s,coverage_pct
0.034250,15.463808
1.033447,16.748037
2.033463,31.383995
3.033442,38.622373
4.033468,48.153258
5.033413,48.694545
6.033408,49.479941
7.033418,56.580344
8.033528,60.730206
9.033512,65.580556
10.033484,70.059435
11.033428,70.483974
12.033431,70.728083
13.033441,74.899172
14.033404,76.905116
15.033407,78.857992
16.033407,81.330928
17.033392,85.141159
18.033397,90.309913
19.033387,92.793462
20.033440,94.534069
21.033385,94.746338
22.033401,94.937381
23.033387,95.032902
24.033382,95.149650
25.033396,95.149650
26.033389,97.123753
27.033379,99.055402
28.033387,99.617916
