elapsed_s,coverage_pct
0.078383,15.463808
1.077825,17.512205
2.077789,23.073657
3.077827,32.434727
4.077743,44.003396
5.077727,46.794736
6.077791,46.794736
7.077750,50.912757
8.077720,57.089790
9.078606,64.222034
10.077743,67.586500
11.077724,68.637232
12.077810,73.816599
13.077766,78.422840
14.077755,78.773084
15.077728,83.113989
16.077760,88.070473
17.077767,91.445553
18.077800,94.258119
19.077828,95.956273
20.077753,98.694545
21.077753,99.076629
22.077870,99.076629
23.077756,99.076629
24.077691,99.076629
25.077746,99.076629
26.077731,99.076629
27.077698,99.681596
