elapsed_s,coverage_pct
0.277628,15.463808
1.277006,17.077054
2.277032,35.406495
3.276996,45.011675
4.277590,45.011675
5.276975,45.552961
6.276982,50.180429
7.276972,50.530673
8.276966,54.585014
9.276963,59.562726
10.276978,61.706644
11.277347,64.328168
12.276979,66.461473
13.277952,67.119508
14.276959,74.453407
15.276953,76.002972
16.276973,79.526640
17.276951,82.912333
18.276954,87.507960
19.279035,90.288686
20.278870,91.360645
21.276953,95.075356
22.276955,95.234557
23.276967,95.266398
24.276951,99.193377
25.276941,99.808958
26.277435,99.893865
