elapsed_s,coverage_pct
0.057073,15.463808
1.056441,18.350669
2.056477,33.644661
3.056529,40.235619
4.056422,46.317130
5.056401,52.313734
6.056436,55.083846
7.056408,62.980259
8.056524,64.954362
9.056464,65.814052
10.056391,67.257482
11.056416,69.369561
12.056444,75.313097
13.056399,78.741244
14.056458,79.654001
15.056394,81.118658
16.056410,86.669497
17.056410,91.954999
18.056433,93.929102
19.056520,98.216939
20.056442,99.097856
21.056523,99.119083
22.056398,99.203991
23.056430,99.225218
24.056396,99.437487
25.056487,99.490554
26.056486,99.490554
27.056451,99.490554
28.056431,99.490554
29.056480,100.000000
