elapsed_s,coverage_pct
0.042625,15.463808
1.041959,17.002759
2.041975,25.918064
3.041972,34.727234
4.042000,44.332414
5.042106,47.219274
6.041995,51.114413
7.041987,62.534494
8.041932,67.055827
9.041948,69.210359
10.041974,71.768202
11.041936,73.084271
12.041931,77.096158
13.042018,77.998302
14.041976,80.089153
15.041963,85.332201
16.041990,86.563362
17.041948,86.627043
18.042024,86.627043
19.041964,86.637657
20.042054,86.669497
21.041970,86.786245
22.042012,86.881766
23.041999,86.881766
24.041935,87.815750
25.041920,87.815750
26.041924,87.815750
27.041923,87.815750
28.041975,87.815750
29.041980,87.815750
30.041973,87.815750
31.041953,87.815750
32.041944,87.815750
33.041984,88.335810
34.041999,90.999788
35.042076,94.385481
36.041923,98.291233
37.041936,98.577797
38.041992,99.660369
39.042019,99.660369
40.041978,100.000000
