elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.000739,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,1
0.002584,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,1
0.004830,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.007361,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.055024,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.057512,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.060678,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.062419,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.112516,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.114672,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.117224,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.120760,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.164729,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.172523,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.177213,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.180708,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.214756,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.232473,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.237177,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.240695,3,-4.999459,0.499424,1.000008,0.005727,-0.003460,0.000036,4
0.275308,2,-4.999771,-0.498955,0.999085,0.005629,0.003713,-0.003431,4
0.287200,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.292418,4,-4.998200,1.500805,1.000034,0.022068,0.002328,-0.000396,3
0.300678,3,-4.998942,0.499231,1.000009,0.012832,-0.002863,-0.000024,4
0.334772,2,-4.999293,-0.498803,0.998864,0.012049,0.000467,-0.004112,4
0.337226,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.342459,4,-4.996542,1.500883,1.000005,0.046287,0.000624,-0.000814,3
0.360699,3,-4.997762,0.499094,1.000004,0.027801,-0.001575,-0.000152,4
0.384843,2,-4.998387,-0.498934,0.998626,0.025415,-0.006351,-0.005543,4
0.387242,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.392464,4,-4.993352,1.500853,0.999949,0.083265,-0.001985,-0.001451,3
0.410715,3,-4.995933,0.499053,0.999993,0.046286,0.000026,-0.000309,4
0.444721,2,-4.996145,-0.499682,0.998216,0.051080,-0.019473,-0.008294,4
0.447200,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.452425,4,-4.986660,1.500603,0.999833,0.141408,-0.006961,-0.002454,4
0.460742,3,-4.993041,0.499105,0.999972,0.070247,0.002108,-0.000513,3
0.495914,2,-4.992899,-0.501020,0.997729,0.079454,-0.034799,-0.011210,3
0.497296,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.512454,4,-4.970399,1.495652,0.999853,0.242587,-0.059597,-0.003176,4
0.520701,3,-4.987822,0.499342,0.999932,0.104409,0.006249,-0.000831,3
0.554802,2,-4.986972,-0.503805,0.996948,0.119178,-0.059127,-0.014837,3
0.557349,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.572399,4,-4.954011,1.491407,0.999630,0.304418,-0.083723,-0.004230,4
0.580686,3,-4.980424,0.499908,0.999871,0.142887,0.013085,-0.001236,3
0.614756,2,-4.978274,-0.508355,0.995924,0.166052,-0.090646,-0.018670,3
0.617263,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.622476,4,-4.937464,1.486548,0.999398,0.356849,-0.111573,-0.005011,4
0.640707,3,-4.966176,0.493619,0.999799,0.227254,-0.046691,-0.002714,4
0.672508,4,-4.918284,1.480124,0.999130,0.409976,-0.146413,-0.005702,3
0.674734,2,-4.967049,-0.514728,0.994716,0.216431,-0.127124,-0.022412,4
0.677211,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.700667,3,-4.951165,0.491008,0.999611,0.272770,-0.041210,-0.003542,4
0.732476,4,-4.891712,1.469843,0.998765,0.474728,-0.197504,-0.006413,3
0.735241,2,-4.952094,-0.513487,0.993632,0.306186,-0.135148,-0.027221,4
0.737230,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.750714,3,-4.936587,0.488973,0.999415,0.311123,-0.040935,-0.004322,4
0.782572,4,-4.866702,1.458784,0.998433,0.529169,-0.247438,-0.006905,3
0.795752,2,-4.932008,-0.522335,0.991873,0.364187,-0.157679,-0.031505,4
0.797381,1,-4.994148,-1.500891,1.000316,0.065887,0.000709,0.001452,4
0.810656,3,-4.916486,0.486396,0.999125,0.357877,-0.045761,-0.005372,4
0.842392,4,-4.833021,1.442032,0.998003,0.592745,-0.311041,-0.007425,3
0.854745,2,-4.908317,-0.532144,0.989843,0.425558,-0.166883,-0.036204,4
0.857315,1,-4.988999,-1.500754,1.000410,0.107507,0.003983,0.001702,4
0.860694,3,-4.897625,0.483919,0.998833,0.397241,-0.054060,-0.006335,3
0.892476,4,-4.811327,1.432228,0.997728,0.663246,-0.348866,-0.008081,4
0.904761,2,-4.885730,-0.540527,0.987931,0.476450,-0.167358,-0.040151,3
0.917285,1,-4.981103,-1.500362,1.000519,0.156475,0.009804,0.001922,4
0.920746,3,-4.872371,0.480252,0.998415,0.445089,-0.069161,-0.007602,3
0.942514,4,-4.776977,1.413593,0.997313,0.709838,-0.395536,-0.008499,4
0.954799,2,-4.860748,-0.548805,0.985834,0.524598,-0.163811,-0.043873,3
0.977193,1,-4.970147,-1.499491,1.000638,0.208924,0.019953,0.002001,2
0.980742,3,-4.844215,0.475509,0.997918,0.493613,-0.089882,-0.008989,3
1.002448,4,-4.732731,1.388289,0.996794,0.761874,-0.445392,-0.008719,4
1.014727,2,-4.827515,-0.558402,0.983065,0.579254,-0.154191,-0.048081,3
1.037167,1,-4.955959,-1.497882,1.000757,0.264705,0.034405,0.001939,2
1.040692,3,-4.813103,0.469350,0.997334,0.542752,-0.116099,-0.010494,4
1.052953,4,-4.693708,1.365143,0.996359,0.801799,-0.481620,-0.008666,3
1.064737,2,-4.797615,-0.565817,0.980589,0.619686,-0.143276,-0.051227,3
1.087182,1,-4.941474,-1.495785,1.000850,0.313896,0.049781,0.001780,2
1.091034,3,-4.782415,0.461853,0.996735,0.585550,-0.117746,-0.012655,4
1.112533,4,-4.644211,1.335062,0.995848,0.845910,-0.519015,-0.008319,3
1.115015,2,-4.754377,-0.565246,0.976846,0.687851,-0.134451,-0.044644,4
1.137208,1,-4.924545,-1.492856,1.000933,0.364891,0.068205,0.001517,3
