elapsed_s,coverage_pct
0.949032,16.928465
1.948399,24.899172
2.948396,30.779028
3.948442,40.883040
4.948401,45.234557
5.948404,50.636807
6.948381,58.925918
7.948413,64.551051
8.948373,64.720866
9.948402,67.374231
10.948466,71.587773
11.948363,71.810656
12.948567,76.331989
13.948980,77.021864
14.948419,82.678837
15.948376,83.262577
16.948359,84.790915
17.948388,85.862874
18.948404,86.828699
19.948404,87.232010
20.948395,88.495012
21.948574,90.002123
22.948426,90.299300
23.948443,90.426661
24.948399,91.700276
25.948540,92.581193
26.948456,92.761622
27.948494,92.772235
28.948431,92.899597
29.948411,92.899597
30.948361,93.249841
31.948442,93.292295
32.948451,93.292295
33.948397,93.292295
34.948361,93.727446
35.948381,93.876035
36.948404,95.945659
37.948404,95.945659
38.948365,95.945659
39.948418,95.966886
40.948372,97.665039
41.948368,98.917427
