elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.003231,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,2
0.003815,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.008683,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.009451,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.053775,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.058705,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.059462,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.063829,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.109469,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.113374,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.118649,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.123676,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.159531,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.168729,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.173349,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.173747,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.219644,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.228798,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,4
0.233273,4,-4.999117,1.500617,1.000051,0.009656,0.003187,-0.000183,4
0.234880,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.279621,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.283318,4,-4.998519,1.500764,1.000040,0.016887,0.002690,-0.000307,4
0.288853,3,-4.998076,0.500769,1.000817,0.023553,0.001934,0.006909,4
0.293730,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.339476,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.343289,4,-4.996834,1.500878,1.000010,0.042367,0.000901,-0.000746,4
0.343748,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.348649,3,-4.995790,0.500829,1.001475,0.056070,-0.000144,0.015961,4
0.390030,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
