elapsed_s,coverage_pct
0.053763,15.463808
1.053145,18.170240
2.053131,36.584589
3.053071,42.602420
4.053086,48.652091
5.053098,51.836128
6.053103,56.866907
7.053117,58.045001
8.053078,61.600509
9.053068,67.915517
10.053135,69.889620
11.053069,74.729357
12.053103,76.735300
13.053198,82.031416
14.053206,83.177669
15.053083,88.717894
16.053217,93.440883
17.053056,95.192104
18.053057,96.051794
19.053055,96.911484
20.053068,97.272341
21.053182,97.484610
22.053043,97.484610
23.053055,97.569518
24.053059,99.055402
25.053062,99.787731
26.053064,99.968160
27.053047,99.968160
28.053057,99.978773
