elapsed_s,coverage_pct
0.078273,15.463808
1.077614,17.321163
2.077664,33.856931
3.077694,37.964339
4.077730,40.893653
5.077665,41.275738
6.077670,41.933772
7.077721,44.810019
8.077629,48.673318
9.077653,49.872639
10.077643,52.165145
11.077611,62.258544
12.077601,66.801104
13.077672,72.362556
14.077600,75.005307
15.077606,76.523031
16.077701,78.093823
17.077584,79.791976
18.077603,81.288474
19.077645,84.069200
20.077650,93.175547
21.077634,96.147315
22.077713,97.166207
23.077650,97.749947
24.077569,97.845468
25.077585,97.951603
26.077584,97.962216
27.077611,98.323074
28.077583,98.333687
29.077651,98.386754
30.077597,98.386754
31.077609,98.386754
32.077680,98.386754
33.077574,98.715772
34.077763,98.800679
35.077597,99.639142
36.077595,99.639142
37.077675,99.819571
