elapsed_s,coverage_pct
0.054963,15.463808
1.054350,17.522819
2.054264,29.855657
3.054256,39.312248
4.054260,43.090639
5.054352,43.631925
6.054282,43.960942
7.054281,46.338357
8.054298,50.233496
9.054247,53.046062
10.054329,58.267884
11.054302,62.332838
12.054227,63.033326
13.054316,66.344725
14.054398,70.367226
15.054285,72.171513
16.054257,74.856718
17.054225,79.738909
18.054257,81.723626
19.054291,82.795585
20.054198,83.835704
21.054236,84.727234
22.054242,86.605816
23.054506,93.536404
24.054250,95.308852
25.054274,95.744003
26.054232,96.147315
27.054271,96.465719
28.054203,98.132031
29.054192,98.270006
30.054311,98.270006
31.054225,98.333687
32.054300,98.333687
33.054190,98.482276
34.054203,98.652091
35.054219,98.652091
36.054205,98.938654
37.054186,99.172150
38.054186,99.904479
39.054183,99.904479
40.054256,99.904479
