elapsed_s,type,uav_a,uav_b,x,y,z,center_distance_m,clearance_m
13.828317,uav,1,4,-0.361106,-1.822362,0.944140,0.492465,-0.007535
14.717603,obstacle,4,0,-0.382593,-1.328614,0.880682,0.231733,-0.018267
