elapsed_s,coverage_pct
0.149797,15.463808
1.149206,17.819996
2.149117,36.765018
3.149180,40.893653
4.149138,41.880705
5.149273,42.888983
6.149180,48.885587
7.149123,53.491828
8.149197,55.115687
9.149120,66.896625
10.149253,67.947357
11.149136,68.775207
12.149125,69.008703
13.149113,71.502866
14.149254,72.627892
15.149210,73.476969
16.149152,73.487582
17.149113,73.530036
18.149138,73.572490
19.149108,74.899172
20.149130,76.926343
21.149138,77.414562
22.149111,78.412227
23.149198,82.477181
24.149130,84.101040
25.149123,84.111654
26.149149,84.621100
27.149214,84.843982
28.149163,88.441944
29.149101,88.463171
30.149162,88.463171
31.149108,88.463171
32.149113,88.473785
33.149112,88.473785
34.149103,88.473785
35.149088,88.473785
36.149093,88.792188
37.150101,90.023350
38.149184,90.023350
39.149115,90.055190
40.149115,91.042242
41.149164,93.154320
42.149120,97.293568
43.149098,99.692210
44.149087,99.936319
