elapsed_s,drone_id,x,y,z,vx,vy,vz,fsm_state
0.003807,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,1
0.007809,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,2
0.008306,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.008393,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.053901,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.058385,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.058488,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,2
0.067830,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.113991,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,2
0.118323,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.118458,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.127668,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.168464,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.168466,3,-5.000000,0.500000,1.000000,0.000000,0.000000,0.000000,3
0.173796,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.187737,4,-5.000000,1.500000,1.000000,0.000000,0.000000,0.000000,3
0.225664,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.228276,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.228470,3,-4.998995,0.500627,1.000541,0.011119,0.002717,0.003447,4
0.237818,4,-4.998990,1.500657,1.000048,0.010376,0.003140,-0.000195,4
0.278526,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.278528,3,-4.998260,0.500752,1.000763,0.020622,0.002120,0.006093,4
0.283911,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.297812,4,-4.998027,1.500822,1.000031,0.024828,0.002134,-0.000444,4
0.338381,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.338383,3,-4.996232,0.500829,1.001349,0.050368,0.000221,0.014374,4
0.343911,2,-5.000000,-0.500000,1.000000,0.000000,0.000000,0.000000,3
0.357688,4,-4.995644,1.500887,0.999989,0.057634,-0.000176,-0.001009,4
0.388389,3,-4.992766,0.500779,1.002331,0.090503,-0.002351,0.025546,4
0.398431,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,1
0.403778,2,-4.999219,-0.499306,0.999989,0.008740,0.003015,-0.000108,4
0.407699,4,-4.991785,1.500809,0.999922,0.098931,-0.003092,-0.001722,4
0.438429,3,-4.986996,0.500569,1.003953,0.140847,-0.006595,0.039427,3
0.448542,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.453791,2,-4.998561,-0.499177,0.999980,0.018702,0.002014,-0.000268,4
0.467809,4,-4.984059,1.500463,0.999787,0.158882,-0.009280,-0.002755,3
0.498513,3,-4.976686,0.499903,1.006817,0.202776,-0.016484,0.055899,3
0.504080,2,-4.997235,-0.499116,0.999960,0.035459,0.000319,-0.000537,4
0.508242,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.527699,4,-4.972704,1.499591,0.999591,0.220075,-0.020698,-0.003808,3
0.558285,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.558462,3,-4.962640,0.498484,1.010654,0.265673,-0.031706,0.071960,3
0.563766,2,-4.994281,-0.499181,0.999915,0.064557,-0.002635,-0.001005,2
0.577832,4,-4.960401,1.498232,0.999378,0.272009,-0.034255,-0.004699,3
0.608373,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.613775,2,-4.991225,-0.499335,0.999867,0.089128,-0.005247,-0.001401,3
0.618357,3,-4.944813,0.495992,1.015429,0.329299,-0.052478,0.086946,3
0.637696,4,-4.942190,1.495569,0.999064,0.335215,-0.055474,-0.005788,4
0.664418,2,-4.984649,-0.499826,0.999763,0.130707,-0.011634,-0.002092,3
0.668304,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.668417,3,-4.925049,0.498310,1.019022,0.399487,-0.071114,0.089887,3
0.697623,4,-4.915993,1.491510,0.998443,0.411527,-0.086549,-0.007571,4
0.723791,2,-4.975412,-0.500799,0.999613,0.177295,-0.021282,-0.002894,3
0.728467,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.728478,3,-4.899251,0.493403,1.024607,0.460003,-0.091773,0.095298,3
0.747886,4,-4.894138,1.486615,0.998043,0.464354,-0.109896,-0.008432,4
0.773815,2,-4.965548,-0.502110,0.999451,0.219593,-0.031727,-0.003641,3
0.778528,3,-4.874998,0.488441,1.029394,0.508691,-0.106032,0.095244,3
0.788375,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,2
0.807712,4,-4.864388,1.479129,0.997508,0.527908,-0.140200,-0.009412,4
0.827313,2,-4.952012,-0.503228,0.999507,0.272560,-0.045661,-0.003393,4
0.838437,3,-4.842599,0.481616,1.035001,0.565183,-0.119618,0.089661,4
0.848444,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.867778,4,-4.830757,1.469732,0.996914,0.591669,-0.173023,-0.010335,3
0.883877,2,-4.933957,-0.506684,0.999298,0.329845,-0.070907,-0.003481,4
0.898442,3,-4.806693,0.467556,1.041966,0.613655,-0.155406,0.081445,4
0.908462,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.917816,4,-4.799786,1.460339,0.996378,0.644897,-0.202274,-0.011059,3
0.943764,2,-4.912380,-0.511899,0.999102,0.390316,-0.104421,-0.002956,4
0.958419,3,-4.768463,0.457808,1.046576,0.659275,-0.169717,0.072113,4
0.967824,4,-4.766342,1.449512,0.995810,0.696856,-0.232219,-0.011723,3
0.968349,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,3
0.993822,2,-4.895938,-0.516599,0.998995,0.431961,-0.131139,-0.002438,2
1.008462,3,-4.734649,0.448996,1.049981,0.692489,-0.182937,0.064033,4
1.027673,4,-4.722683,1.434483,0.995085,0.756921,-0.268434,-0.012432,3
1.028318,1,-5.000000,-1.500000,1.000000,0.000000,0.000000,0.000000,4
1.053971,2,-4.863146,-0.527614,0.998837,0.504709,-0.184987,-0.002209,3
1.068472,3,-4.692022,0.437500,1.053525,0.726619,-0.200185,0.053940,4
1.077680,4,-4.675940,1.421680,0.994546,0.826035,-0.299529,-0.012748,4
